WORD,CATEGORY,BASIC
ship,,Vehicle
shirt,,Clothes
shit,,
shock,,
shoe,,Clothes
shoot,,
shooting,,
shop,,
shopping,,
shore,,
short,,Opposites
shortly,,
shot,,
should,,
shoulder,,
shout,,
show,,
shower,,
shrug,,
shut,,Opposites
sick,,
side,,
sigh,,
sight,,
sign,,Object
signal,,
significance,,
significant,,
significantly,,
silence,,
silent,,
silver,,Material
similar,,
similarly,,
simple,,Opposites
simply,,
sin,,
since,,
sing,,
singer,,
single,,
sink,,
sir,,
sister,,People
sit,,
site,,
situation,,
six,,
size,,Space
ski,,
skill,,
skin,,Body
sky,,Nature
slave,,
sleep,,Activity
slice,,
slide,,
slight,,
slightly,,
slip,,Motion
slow,,Opposites
slowly,,
small,,Opposites
smart,,
smell,,
smile,,Activity
smoke,,Form
smooth,,Properties
snap,,
snow,,Nature
so,,
so-called,,
soccer,,
social,,
society,,People
soft,,Opposites
software,,
soil,,
solar,,
soldier,,
solid,,Opposites
solution,,
solve,,
some,,
somebody,,
somehow,,
someone,,
something,,
sometimes,,
somewhat,,
somewhere,,
son,,People
song,,
soon,,
sophisticated,,
sorry,,
sort,,Abstract
soul,,
sound,,Perception
soup,,Food
source,,
south,,Space
southern,,
Soviet,,
space,,
Spanish,,
speak,,
speaker,,
special,,Opposites
specialist,,
species,,
specific,,
specifically,,
speech,,
speed,,
spend,,
spending,,
spin,,
spirit,,
spiritual,,
split,,
spokesman,,
sport,,
spot,,
spread,,
spring,,Object
square,,Form
squeeze,,
stability,,
stable,,
staff,,
stage,,
stair,,
stake,,
stand,,
standard,,
standing,,
star,,Nature
stare,,
start,,Time
state,,
statement,,
station,,Motion
statistics,,
status,,
stay,,
steady,,
steal,,
steel,,Material
step,,
stick,,Object
still,,Time
stir,,
stock,,
stomach,,Body
stone,,Material
stop,,Time
storage,,
store,,
storm,,
story,,
straight,,Properties
strange,,Opposites
stranger,,
strategic,,
strategy,,
stream,,
street,,Vehicle
strength,,
strengthen,,
stress,,
stretch,,
strike,,
string,,
strip,,
stroke,,
strong,,Properties
strongly,,
structure,,
struggle,,
student,,
studio,,
study,,
stuff,,
stupid,,
style,,
subject,,
submit,,
subsequent,,
substance,,
substantial,,
succeed,,
success,,
successful,,
successfully,,
such,,
sudden,,
suddenly,,
sue,,
suffer,,
sufficient,,
sugar,,Food
suggest,,
suggestion,,
suicide,,
suit,,
summer,,Time
summit,,
sun,,Nature
super,,
supply,,
support,,Abstract
supporter,,
suppose,,
supposed,,
Supreme,,
sure,,
surely,,
surface,,
surgery,,
surprise,,
surprised,,
surprising,,
surprisingly,,
surround,,
survey,,
survival,,
survive,,
survivor,,
suspect,,
sustain,,
swear,,
sweep,,
sweet,,Food
swim,,Activity
swing,,
switch,,
symbol,,
symptom,,
system,,Abstract
table,,Object
tablespoon,,
tactic,,
tail,,
take,,Business
tale,,
talent,,
talk,,
tall,,
tank,,
tap,,
tape,,
target,,
task,,
taste,,Activity
tax,,Hierarchy
taxpayer,,
tea,,
teach,,
teacher,,
teaching,,
team,,
tear,,
teaspoon,,
technical,,
technique,,
technology,,
teen,,
teenager,,
telephone,,
telescope,,
television,,
tell,,
temperature,,
temporary,,
ten,,
tend,,
tendency,,
tennis,,
tension,,
tent,,
term,,
terms,,
terrible,,
territory,,
terror,,
terrorism,,
terrorist,,
test,,
testify,,
testimony,,
testing,,
text,,
than,,Prepositions
thank,,
thanks,,
that,,Functions
the,,Time
theater,,
their,,
them,,
theme,,
themselves,,
then,,
theory,,Mind
therapy,,
there,,Functions
therefore,,
these,,
they,,
thick,,Space
thin,,Opposites
thing,,
think,,
thinking,,
third,,
thirty,,
this,,Functions
those,,
though,,
thought,,Mind
thousand,,
threat,,
threaten,,
three,,
throat,,Body
through,,Prepositions
throughout,,
throw,,
thus,,
ticket,,
tie,,
tight,,Properties
time,,Time
tiny,,
tip,,
tire,,
tired,,Life
tissue,,
title,,
to,,Prepositions
tobacco,,
today,,
toe,,Body
together,,Functions
tomato,,
tomorrow,,Time
tone,,
tongue,,Body
tonight,,
too,,
tool,,
tooth,,Body
top,,
topic,,
toss,,
total,,
totally,,
touch,,Activity
tough,,
tour,,
tourist,,
tournament,,
toward,,
towards,,
tower,,
town,,
toy,,
trace,,
track,,
trade,,
tradition,,
traditional,,
traffic,,
tragedy,,
trail,,
train,,Vehicle
training,,
transfer,,
transform,,
transformation,,
transition,,
translate,,
transportation,,
travel,,
treat,,
treatment,,
treaty,,
tree,,Nature
tremendous,,
trend,,
trial,,
tribe,,
trick,,
trip,,
troop,,
trouble,,
truck,,
true,,Abstract
truly,,
trust,,
truth,,
try,,
tube,,
tunnel,,
turn,,
TV,,
twelve,,
twenty,,
twice,,
twin,,
two,,
type,,
typical,,
typically,,
ugly,,
ultimate,,
ultimately,,
unable,,
uncle,,
under,,Prepositions
undergo,,
understand,,
understanding,,
unfortunately,,
uniform,,
union,,
unique,,
unit,,
United,,
universal,,
universe,,
university,,
unknown,,
unless,,
unlike,,
unlikely,,
until,,
unusual,,
up,,Space
upon,,
upper,,
urban,,
urge,,
us,,
use,,
used,,
useful,,
user,,
usual,,
usually,,
utility,,
vacation,,
valley,,
valuable,,
value,,Business
variable,,
variation,,
variety,,
various,,
vary,,
vast,,
vegetable,,
vehicle,,
venture,,
version,,
versus,,
very,,Degree
vessel,,
veteran,,
via,,
victim,,
victory,,
video,,
view,,
viewer,,
village,,
violate,,
violation,,
violence,,
violent,,
virtually,,
virtue,,
virus,,
visible,,
vision,,
visit,,
visitor,,
visual,,
vital,,
voice,,Communication
volume,,
volunteer,,
vote,,
voter,,
vs,,
vulnerable,,
wage,,
wait,,
wake,,
walk,,Activity
wall,,Buildings
wander,,
want,,
war,,Hierarchy
warm,,Energy
warn,,
warning,,
wash,,Energy
waste,,
watch,,
water,,Material
wave,,Form
way,,
we,,
weak,,
wealth,,
wealthy,,
weapon,,
wear,,
weather,,Nature
wedding,,
week,,Time
weekend,,
weekly,,
weigh,,
weight,,
welcome,,
welfare,,
well,,
west,,Space
western,,
wet,,Properties
what,,
whatever,,
wheel,,Object
when,,Functions
whenever,,
where,,Functions
whereas,,
whether,,
which,,
while,,
whisper,,
white,,Opposites
who,,
whole,,
whom,,
whose,,
why,,Functions
wide,,Space
widely,,
widespread,,
wife,,
wild,,
will,,
willing,,
win,,
wind,,Nature
window,,Buildings
wine,,Food
wing,,
winner,,
winter,,Time
wipe,,
wire,,Object
wisdom,,
wise,,Mind
wish,,
with,,Prepositions
withdraw,,
within,,
without,,
witness,,
woman,,People
wonder,,
wonderful,,
wood,,Material
wooden,,
word,,Communication
work,,
worker,,
working,,
works,,
workshop,,
world,,
worried,,
worry,,
worth,,
would,,
wound,,Body
wrap,,
write,,
writer,,
writing,,
wrong,,Opposites
yard,,
yeah,,
year,,Time
yell,,
yellow,,Perception
yes,,
yesterday,,Time
yet,,
yield,,
you,,
young,,Time
your,,
yours,,
yourself,,
youth,,
zone,,
